Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,202.300003,204.899994,201.000000,203.035004,191.535736,1504270
2010-10-04,206.399994,207.000000,204.000000,206.464996,194.771439,1370400
2010-10-05,208.440002,208.440002,205.110001,206.100006,194.427124,1479130
2010-10-06,207.835007,207.955002,203.710007,204.255005,192.686646,1798630
2010-10-07,204.000000,206.500000,203.335007,203.865005,192.318710,871910
2010-10-08,203.899994,207.699997,202.160004,206.440002,194.747864,1636600
2010-10-11,207.600006,209.899994,205.660004,207.000000,195.276169,874860
2010-10-12,209.979996,211.169998,205.199997,209.009995,197.172318,1713680
2010-10-13,210.000000,211.990005,209.199997,210.494995,198.573196,2669790
2010-10-14,212.000000,212.475006,209.514999,210.309998,198.398682,895390
2010-10-15,209.264999,209.994995,203.300003,203.955002,192.403610,2118050
2010-10-18,209.899994,209.899994,201.800003,204.910004,193.304535,1463960
2010-10-19,206.699997,206.699997,202.110001,204.785004,193.186615,1176220
2010-10-20,203.199997,206.699997,201.505005,203.770004,192.229111,871870
2010-10-21,203.149994,213.000000,201.639999,212.089996,200.077866,1716380
2010-10-22,212.500000,214.500000,209.630005,213.979996,201.860809,1572580
2010-10-25,215.399994,215.699997,212.899994,213.774994,201.667419,852930
2010-10-26,214.695007,214.699997,211.300003,212.845001,200.790115,910810
2010-10-27,213.199997,213.199997,208.595001,209.910004,198.021347,858140
2010-10-28,211.300003,214.500000,207.539993,211.800003,199.804321,3223250
2010-10-29,213.000000,213.000000,209.000000,211.005005,199.054337,1900520
2010-11-01,216.949997,220.899994,214.899994,219.070007,206.662567,2186570
2010-11-02,217.199997,220.399994,216.615005,219.044998,206.638962,844550
2010-11-03,219.199997,227.669998,219.199997,224.929993,212.190659,2258390
2010-11-04,227.399994,227.399994,223.199997,224.175003,211.478455,959910
2010-11-08,230.500000,234.399994,228.500000,229.494995,216.497086,1578830
2010-11-09,230.199997,234.449997,227.580002,232.164993,219.015915,1343280
2010-11-10,232.300003,234.505005,231.000000,232.210007,219.058350,621270
2010-11-11,232.425003,234.800003,230.854996,232.800003,219.614929,528430
2010-11-12,235.000000,238.395004,230.500000,232.160004,219.011169,1352140
2010-11-15,229.000000,235.410004,227.600006,230.634995,217.572525,1263600
2010-11-16,232.300003,235.000000,228.529999,230.389999,217.341415,1300790
2010-11-18,234.800003,234.800003,227.500000,228.899994,215.935806,1809430
2010-11-19,230.110001,230.695007,220.199997,221.485001,208.940765,2331080
2010-11-22,223.500000,224.410004,214.875000,223.085007,210.450150,1514060
2010-11-23,222.770004,229.899994,219.785004,227.610001,214.718872,1180560
2010-11-24,228.300003,230.399994,225.470001,227.335007,214.459442,1028950
2010-11-25,227.500000,237.375000,222.600006,227.000000,214.143417,1944798
2010-11-26,229.449997,230.725006,220.324997,223.125000,210.487885,1297068
2010-11-29,226.975006,227.000000,221.050003,224.899994,212.162338,830126
2010-11-30,224.750000,227.500000,221.024994,223.774994,211.101074,1541054
2010-12-01,225.000000,226.500000,222.524994,224.324997,211.619934,1024502
